שיבולת
סטודנט
מקינטה
קולרבי
בלרינה
בריסטה
סוכריה
טורנדו
הוריקן
קורקבן
כספומט
כריזמה
פסטיבל
פרדוקס
מנעולן
סמוראי
צדיקים 
